page_url,source,followers,date,time,post_type,interactions,post_message,post_link,time_zone
Facebook.com/MuslimAmerica,United Muslims of America,280009,2017-05-24,14:04:00,Facebook,4797,"THANKS CANADA, Every time you restore the faith in humanity !!",https://www.facebook.com/MuslimAmerica/posts/1801478546835912,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,213443,2017-01-17,11:24:46,Facebook,4744,Let this sink in for a while...,https://www.facebook.com/MuslimAmerica/posts/1741255672858200,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,214704,2017-01-19,15:55:26,Facebook,4734,"There is no racism in Islam, Mashalla Allah bless them",https://www.facebook.com/MuslimAmerica/posts/1742356929414741,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-09-21,13:43:00,Facebook,4699,Like and Share if you are proud of them ...,https://www.facebook.com/MuslimAmerica/posts/1674145196235915,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,278757,2017-05-22,12:06:00,Facebook,4575,Just some Muslim patriots praying,https://www.facebook.com/MuslimAmerica/posts/1801465793503854,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,277097,2017-05-17,10:35:00,Facebook,4566,How many likes can we get for our brothers in Islam?,https://www.facebook.com/MuslimAmerica/posts/1801027343547699,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,216252,2017-01-21,10:07:34,Facebook,4548,"1.8 Billion followers without Facebook, Twitter, Instagram, Whatsapp. He is our prophet Muhammad (pbuh)",https://www.facebook.com/MuslimAmerica/posts/1742360549414379,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,277374,2017-05-18,09:15:00,Facebook,4433,STOP BOMBING SYRIA!!!,https://www.facebook.com/MuslimAmerica/posts/1808472966136470,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,213443,2017-01-17,10:12:52,Facebook,4392,"Subhan Allah guides whom He wills .... PS, She didn't convert to Islam yet!",https://www.facebook.com/MuslimAmerica/posts/1741254912858276,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-04-29,15:44:00,Facebook,4374,Alcohol and pork is against Christian beliefs too but some people just tend to ignore the things they don't agree with.,https://www.facebook.com/MuslimAmerica/posts/1598224313828004,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,258279,2017-03-14,13:40:00,Facebook,4369,"Share, BE THE MEDIA!",https://www.facebook.com/MuslimAmerica/posts/1772427489741018,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-01-26,10:14:23,Facebook,4351,"Hillary Clinton Slams Donald Trump’s Anti-Muslim Rhetoric as ‘Shameful, Offensive, Dangerous’ (SHARE)",https://www.facebook.com/MuslimAmerica/posts/1547830042200765,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,329335,2017-08-22,13:11:00,Facebook,4324,Alcohol and pork is against Christian beliefs too but some people just tend to ignore the things they don't agree with.,https://www.facebook.com/MuslimAmerica/posts/1860185464298553,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,281815,2017-05-28,10:47:00,Facebook,4320,Like and Share if you are a Muslim And proud !,https://www.facebook.com/MuslimAmerica/posts/1801482210168879,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,274931,2017-05-10,10:04:00,Facebook,4280,"But you won't see that on Fox News, Share and tell everyone!",https://www.facebook.com/MuslimAmerica/posts/1801011880215912,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,325393,2017-08-05,11:44:00,Facebook,4274,"Muslims are not terrorists, and terrorists are not Muslims. share if you agree!!",https://www.facebook.com/MuslimAmerica/posts/1851154761868290,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,0,2016-08-08,14:04:00,Facebook,4266,"#America Are you still okay with banning #SyrianRefugees ",https://www.facebook.com/MuslimAmerica/posts/1650090345308067,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,252759,2017-03-04,14:22:01,Facebook,4220,STOP RELATING TERRORISTS WITH MUSLIMS!,https://www.facebook.com/MuslimAmerica/posts/1765571900426577,GMT-0500 
Facebook.com/MuslimAmerica,United Muslims of America,278341,2017-05-21,18:27:00,Facebook,4210,Let this sink in for a while...,https://www.facebook.com/MuslimAmerica/posts/1809155016068265,GMT-0400 
Facebook.com/MuslimAmerica,United Muslims of America,321876,2017-07-24,14:49:00,Facebook,4196,This made my day lol,https://www.facebook.com/MuslimAmerica/posts/1845991082384658,GMT-0400 
